airport,departure,duration,aircraft,Mon,Tue,Wed,Thu,Fri,Sat,Sun
IST,11.33333333,11.41666667,787,,,1,1,,1,1
IST,22.08333333,11.41666667,777,1,1,1,1,1,1,1
FRA,16.75,9.166666667,747,1,1,1,1,1,1,1
AMS,17.83333333,8.666666667,330,,1,,,1,,1
CDG,20.25,9,787,1,1,1,1,1,1,1
CDG,20.83333333,9,777,1,1,1,1,1,1,1
CDG,23.58333333,9,787,1,1,1,,1,1,1
MAD,18.08333333,9,777,1,1,1,1,1,1,1
MAD,17.08333333,9,330,1,1,1,1,1,1,1
MAD,22.91666667,9,330,1,1,1,1,1,1,1
MAD,21.5,9,787,1,1,1,1,1,1,1
LHR,0.083333333,9.416666667,777,1,1,1,1,1,1,1
LHR,21,9.416666667,777,1,1,1,1,1,1,1
LHR,17,9.416666667,380,1,1,1,1,1,1,1
LHR,22.5,9.416666667,787,1,1,1,1,1,1,1
LHR,16.41666667,9.416666667,330,1,1,1,1,1,1,
LHR,20.16666667,9.416666667,330,,1,,1,,1,
DOH,21.25,14.25,777,1,1,1,1,1,1,1
DXB,21.16666667,14.25,777,1,1,1,1,1,1,1
LAX,6.166666667,6.1,320,1,1,1,1,1,1,1
LAX,8.5,6.1,777,1,1,1,1,1,1,1
LAX,11.25,6.1,320,1,1,1,1,1,1,1
LAX,13.66666667,6.1,320,1,1,1,1,1,1,1
LAX,15.5,6.1,787,1,1,1,1,1,1,1
LAX,19.3,6.1,320,1,1,1,1,1,1,1
LAX,19.5,6.1,320,1,1,1,1,1,1,1
LAX,21,6.1,320,1,1,1,1,1,1,1
LAX,8.25,6.1,737,1,1,1,1,1,1,1
LAX,6.666666667,6.1,320,1,1,1,1,1,1,1
LAX,19.83333333,6.1,320,1,1,1,1,1,1,1
JFK,7.083333333,3.333333333,737,1,1,1,1,1,1,1
JFK,9,3.333333333,777,1,1,1,1,1,1,1
JFK,10.5,3.333333333,737,1,1,1,1,1,1,1
JFK,12.25,3.333333333,320,1,1,1,1,1,1,1
JFK,13.5,3.333333333,737,1,1,1,1,1,1,1
JFK,15.5,3.333333333,737,1,1,1,1,1,1,1
JFK,17.5,3.333333333,737,1,1,1,1,1,1,1
JFK,19.5,3.333333333,320,1,1,1,1,1,1,1
JFK,20.5,3.333333333,737,1,1,1,1,1,1,1
JFK,21.5,3.333333333,737,1,1,1,1,1,1,1
JFK,7.75,3.333333333,320,1,1,1,1,1,1,1
JFK,11.58333333,3.333333333,320,1,1,1,1,1,1,1
JFK,15.33333333,3.333333333,320,1,1,1,1,1,1,1
JFK,19.25,3.333333333,320,1,1,1,1,1,1,1
JFK,7.083333333,3.333333333,320,1,1,1,1,1,1,1
JFK,10.91666667,3.333333333,320,1,1,1,1,1,1,1
JFK,15,3.333333333,320,1,1,1,1,1,1,1
JFK,17.16666667,3.333333333,320,1,1,1,1,1,1,1
JFK,20.91666667,3.333333333,320,1,1,1,1,1,1,1
ORD,6.833333333,3.666666667,737,1,1,1,1,1,1,1
ORD,8.5,3.666666667,737,1,1,1,1,1,1,1
ORD,11.33333333,3.666666667,787,1,1,1,1,1,1,1
ORD,13.66666667,3.666666667,737,1,1,1,1,1,1,1
ORD,15.41666667,3.666666667,737,1,1,1,1,1,1,1
ORD,17.5,3.666666667,737,1,1,1,1,1,1,1
ORD,19.5,3.666666667,737,1,1,1,1,1,1,1
ORD,21,3.666666667,737,1,1,1,1,1,1,1
ORD,7.416666667,3.666666667,737,1,1,1,1,1,1,1
ORD,12.25,3.666666667,737,1,1,1,1,1,1,1
ORD,16.25,3.666666667,737,1,1,1,1,1,1,1
ORD,12.2,3.666666667,320,1,1,1,1,1,1,1
ORD,14,3.666666667,320,1,1,1,1,1,1,1
ATL,8.5,2.25,320,1,1,1,1,1,1,1
ATL,13.66666667,2.25,320,1,1,1,1,1,1,1
ATL,15.5,2.25,320,1,1,1,1,1,1,1
ATL,19.5,2.25,320,1,1,1,1,1,1,1
ATL,21,2.25,320,1,1,1,1,1,1,1
ATL,6,2.25,757,1,1,1,1,1,1,1
ATL,7,2.25,757,1,1,1,1,1,1,1
ATL,8.333333333,2.25,757,1,1,1,1,1,1,1
ATL,10.25,2.25,757,1,1,1,1,1,1,1
ATL,12,2.25,757,1,1,1,1,1,1,1
ATL,14.08333333,2.25,757,1,1,1,1,1,1,1
ATL,16.75,2.25,757,1,1,1,1,1,1,1
ATL,18,2.25,757,1,1,1,1,1,1,1
ATL,19.5,2.25,757,1,,,1,1,,1
ATL,17,2.25,320,1,1,1,1,1,1,1
ATL,7.833333333,2.25,320,1,,,,1,,
ATL,17,2.25,320,1,1,1,1,1,1,1
ATL,6.333333333,2.25,320,1,1,1,1,1,1,1
ATL,23.83333333,2.25,320,1,,,,1,,
ATL,16.41666667,2.25,737,,1,1,1,,1,1
ATL,6.333333333,2.25,737,,,,,,,1
ATL,5.75,2.25,737,1,1,1,1,1,1,
ATL,16.91666667,2.25,737,1,1,1,1,1,1,1